Date,Close,High,Low,Open,Volume,simple_return,log_return,sma_20,ema_20,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_lower
2018-01-31,11027.7001953125,11058.5,10979.2998046875,11018.7998046875,245900.0,-0.0019865058654817,-0.0019884815852113,10804.382568359375,10850.560349789816,77.6264771930399,154.45011014420015,131.76576209048716,22.684348053712995,11240.38643647236,10368.37870024639
2018-02-01,11016.900390625,11117.349609375,10878.7998046875,11044.5498046875,306200.0,-0.0009793342670024,-0.0009798141281276,10833.067578125,10866.402258440785,75.84093427787921,148.3769170363903,135.0879930796678,13.288923956722499,11243.773400433434,10422.361755816564
2018-02-02,10760.599609375,10954.9501953125,10736.099609375,10938.2001953125,282700.0,-0.0232643277294313,-0.0235392139330768,10845.857568359375,10856.325815672615,54.248521848614715,121.48216590307857,132.36682764434997,-10.884661741271401,11228.492956901842,10463.222179816908
2018-02-05,10666.5498046875,10702.75,10586.7998046875,10604.2998046875,240100.0,-0.0087402011134732,-0.0087786206983058,10851.242578125,10838.251909864508,46.124430018711735,91.52381901839544,124.19822591915907,-32.67440690076363,11219.637241116536,10482.847915133465
2018-02-06,10498.25,10594.150390625,10276.2998046875,10295.150390625,266500.0,-0.0157782795532946,-0.0159040816546759,10844.97509765625,10805.870775591698,40.76542604196865,53.58354779158435,110.07529029364414,-56.49174250205979,11233.397356879263,10456.552838433237
2018-02-07,10476.7001953125,10614.0,10446.400390625,10607.2001953125,250400.0,-0.0020527044686019,-0.0020548141539544,10836.960107421875,10774.52119651749,34.83590520909311,21.528552606996527,92.36594275631462,-70.8373901493181,11249.329194914239,10424.591019929512
2018-02-08,10576.849609375,10637.7998046875,10479.5498046875,10518.5,232200.0,0.009559251691416,0.0095138511458138,10834.192578125,10755.695331075347,39.083569198862165,4.158027557314199,74.72435971651454,-70.56633215920034,11253.039848552216,10415.345307697782
2018-02-09,10454.9501953125,10480.2001953125,10398.2001953125,10416.5,191600.0,-0.0115251155650782,-0.0115920444485001,10824.380078125,10727.05293719317,30.782650852503565,-19.22291287756525,55.93490519769858,-75.15781807526383,11269.640449111987,10379.119707138012
2018-02-12,10539.75,10555.5,10485.400390625,10518.2001953125,217400.0,0.0081109716548932,0.0080782545170889,10817.305078125,10709.21456222239,31.578001513634106,-30.557592184777604,38.636405721203346,-69.19399790598095,11276.422478539009,10358.187677710992
2018-02-14,10500.900390625,10590.5498046875,10456.650390625,10585.75,229200.0,-0.0036860086221209,-0.0036928186917027,10805.272607421875,10689.375117308353,22.988461005767235,-42.188918404846845,22.471340895993308,-64.66025930084015,11284.904966140575,10325.640248703176
2018-02-15,10545.5,10618.099609375,10511.0498046875,10537.900390625,210600.0,0.0042472176400052,0.0042382236684079,10797.52509765625,10675.67272518375,25.894160647523876,-47.26319183618398,8.524434349557852,-55.78762618574183,11289.142790178174,10305.907405134325
2018-02-16,10452.2998046875,10612.900390625,10434.0498046875,10596.2001953125,184300.0,-0.0088379114610497,-0.0088771974425149,10780.71259765625,10654.399113707916,24.233002554008763,-58.134923730838636,-4.807437266521447,-53.32748646431719,11296.04887682881,10265.376318483688
2018-02-19,10378.400390625,10489.349609375,10302.75,10488.900390625,187300.0,-0.0070701582851038,-0.0070952702880844,10758.7826171875,10628.113521033352,18.953783531855464,-71.88526609509972,-18.223003032237102,-53.66226306286262,11304.075274195895,10213.489960179106
2018-02-20,10360.400390625,10429.349609375,10347.650390625,10391.0,187700.0,-0.0017343713214474,-0.0017358770846747,10732.067626953125,10602.617032423033,19.98948897362719,-83.27501847627354,-31.233406121044393,-52.04161235522915,11301.156535893062,10162.978718013188
2018-02-21,10397.4501953125,10426.099609375,10349.599609375,10426.0,234100.0,0.0035760977655869,0.003569718731482,10703.630126953125,10583.0773336506,22.91454376054459,-88.29407061207894,-42.6455390192513,-45.64853159282764,11280.248640391392,10127.011613514858
2018-02-22,10382.7001953125,10397.5498046875,10340.650390625,10354.349609375,313600.0,-0.0014186170381128,-0.0014196242279203,10668.580126953126,10563.99379666602,22.837006395268588,-92.39681435822786,-52.59579408704661,-39.801020271181244,11233.016508496976,10104.143745409276
2018-02-23,10491.0498046875,10499.099609375,10396.650390625,10408.099609375,210600.0,0.0104355906784168,0.010381515779008,10638.8326171875,10557.046749810923,36.77959753351094,-85.91498589742514,-59.25963244912232,-26.65535344830282,11172.513857553467,10105.151376821532
2018-02-26,10582.599609375,10592.9501953125,10520.2001953125,10526.5498046875,171900.0,0.0087264674548199,0.0086886119084176,10614.480078125,10559.480355483693,45.87243710826204,-72.55442378471707,-61.91859071624127,-10.635833068475804,11108.352358459933,10120.607797790066
2018-02-27,10554.2998046875,10631.650390625,10537.25,10615.2001953125,187500.0,-0.0026741826897078,-0.002677764703635,10585.675048828125,10558.98696969358,53.19573760597243,-63.51745015256893,-62.2383626035068,-1.279087549062126,11015.956472354235,10155.393625302015
2018-02-28,10492.849609375,10535.5,10461.5498046875,10488.9501953125,286000.0,-0.0058222901044755,-0.005839305714195,10557.835009765626,10552.688173472763,50.8807041798965,-60.61536445256752,-61.913762973318946,1.2983985207514266,10929.818903082605,10185.851116448646
2018-03-01,10458.349609375,10525.5,10447.150390625,10479.9501953125,176000.0,-0.0032879533476946,-0.0032933705438877,10529.36748046875,10543.703548320595,43.039216361145726,-60.40301395310598,-61.61161316927636,1.2085992161703771,10830.307456309707,10228.427504627794
